yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
L7N2F9	L7N2F9	L7N2F9_HUMAN	Synaptobrevin-2 (Vesicle-associated membrane protein 2) (Fragment)		SNARE complex assembly [GO:0035493]; vesicle fusion [GO:0006906]	SNAP receptor activity [GO:0005484]; syntaxin-1 binding [GO:0017075]; syntaxin binding [GO:0019905]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]; synaptic vesicle membrane [GO:0030672]
M0QZR4	M0QZR4	M0QZR4_HUMAN	Rho guanine nucleotide exchange factor 1	ARHGEF1	G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of GTPase activity [GO:0043547]	G protein-coupled receptor binding [GO:0001664]; guanyl-nucleotide exchange factor activity [GO:0005085]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
M0R0P8	M0R0P8	M0R0P8_HUMAN	Unconventional myosin-IXb	MYO9B	actin filament-based movement [GO:0030048]; positive regulation of GTPase activity [GO:0043547]; Rho protein signal transduction [GO:0007266]	actin binding [GO:0003779]; ATP binding [GO:0005524]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; microfilament motor activity [GO:0000146]	cytosol [GO:0005829]; myosin complex [GO:0016459]
M0R2Z9	M0R2Z9	M0R2Z9_HUMAN	SURP and G-patch domain-containing protein 2	SUGP2	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]	nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
O00160	O00160	MYO1F_HUMAN	Unconventional myosin-If (Myosin-Ie)	MYO1F	actin filament organization [GO:0007015]; vesicle transport along actin filament [GO:0030050]	actin binding [GO:0003779]; actin-dependent ATPase activity [GO:0030898]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; unconventional myosin complex [GO:0016461]; vesicle [GO:0031982]
O00193	O00193	SMAP_HUMAN	Small acidic protein	SMAP C11orf58			
O00264	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	heme biosynthetic process [GO:0006783]; neutrophil degranulation [GO:0043312]	amyloid-beta binding [GO:0001540]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]	cell body [GO:0044297]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum membrane [GO:0030868]; specific granule membrane [GO:0035579]; synapse [GO:0045202]
O00267	O00267	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	7-methylguanosine mRNA capping [GO:0006370]; negative regulation of DNA-templated transcription, elongation [GO:0032785]; negative regulation of mRNA polyadenylation [GO:1900364]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of viral transcription [GO:0050434]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin binding [GO:0003682]; enzyme binding [GO:0019899]; mRNA binding [GO:0003729]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]	DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O00429	O00429	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	calcium ion transport [GO:0006816]; cellular response to oxygen-glucose deprivation [GO:0090650]; cellular response to thapsigargin [GO:1904579]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; execution phase of apoptosis [GO:0097194]; heart contraction [GO:0060047]; intracellular distribution of mitochondria [GO:0048312]; membrane fusion [GO:0061025]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial membrane fission [GO:0090149]; mitochondrion morphogenesis [GO:0070584]; mitochondrion organization [GO:0007005]; necroptotic process [GO:0070266]; negative regulation of mitochondrial fusion [GO:0010637]; peroxisome fission [GO:0016559]; positive regulation of apoptotic process [GO:0043065]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein secretion [GO:0050714]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of synaptic vesicle endocytosis [GO:1900244]; positive regulation of synaptic vesicle exocytosis [GO:2000302]; protein complex oligomerization [GO:0051259]; protein-containing complex assembly [GO:0065003]; protein localization to mitochondrion [GO:0070585]; regulation of ATP metabolic process [GO:1903578]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of gene expression [GO:0010468]; regulation of mitochondrion organization [GO:0010821]; regulation of peroxisome organization [GO:1900063]; regulation of ubiquitin protein ligase activity [GO:1904666]; release of cytochrome c from mitochondria [GO:0001836]; response to flavonoid [GO:1905395]; response to hypobaric hypoxia [GO:1990910]; rhythmic process [GO:0048511]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle recycling via endosome [GO:0036466]	BH2 domain binding [GO:0051433]; clathrin binding [GO:0030276]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; microtubule binding [GO:0008017]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; small GTPase binding [GO:0031267]; ubiquitin protein ligase binding [GO:0031625]	brush border [GO:0005903]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; peroxisome [GO:0005777]; presynaptic endocytic zone membrane [GO:0098835]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672]
O00559	O00559	RCAS1_HUMAN	Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein)	EBAG9 RCAS1	regulation of cell growth [GO:0001558]	peptidase activator activity involved in apoptotic process [GO:0016505]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; secretory granule [GO:0030141]
O00567	O00567	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	rRNA processing [GO:0006364]	cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]	box C/D RNP complex [GO:0031428]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; pre-snoRNP complex [GO:0070761]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]
O14497	O14497	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	androgen receptor signaling pathway [GO:0030521]; ATP-dependent chromatin remodeling [GO:0043044]; chromatin-mediated maintenance of transcription [GO:0048096]; chromatin remodeling [GO:0006338]; glucocorticoid receptor signaling pathway [GO:0042921]; intracellular estrogen receptor signaling pathway [GO:0030520]; nervous system development [GO:0007399]; nucleosome disassembly [GO:0006337]; nucleosome mobilization [GO:0042766]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA binding [GO:0003677]; nuclear receptor binding [GO:0016922]; transcription coactivator activity [GO:0003713]	brahma complex [GO:0035060]; chromatin [GO:0000785]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]
O14646	O14646	CHD1_HUMAN	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	covalent chromatin modification [GO:0016569]; positive regulation by host of viral transcription [GO:0043923]; regulation of transcription by RNA polymerase II [GO:0006357]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; methylated histone binding [GO:0035064]; nucleosome-dependent ATPase activity [GO:0070615]	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O14647	O14647	CHD2_HUMAN	Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)	CHD2	chromatin organization [GO:0006325]; muscle organ development [GO:0007517]; regulation of transcription by RNA polymerase II [GO:0006357]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; histone binding [GO:0042393]; nucleosome-dependent ATPase activity [GO:0070615]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]
O14874	O14874	BCKD_HUMAN	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	BCKDK	branched-chain amino acid catabolic process [GO:0009083]; cellular amino acid catabolic process [GO:0009063]; isoleucine catabolic process [GO:0006550]; leucine catabolic process [GO:0006552]; negative regulation of cellular amino acid metabolic process [GO:0045763]; phosphorylation [GO:0016310]; protein phosphorylation [GO:0006468]; regulation of glucose metabolic process [GO:0010906]; spermatogenesis [GO:0007283]; valine catabolic process [GO:0006574]	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity [GO:0047323]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein serine/threonine kinase activity [GO:0004674]; pyruvate dehydrogenase (acetyl-transferring) kinase activity [GO:0004740]	mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
O14920	O14920	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	IKBKB IKKB	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; cellular response to tumor necrosis factor [GO:0071356]; cortical actin cytoskeleton organization [GO:0030866]; Fc-epsilon receptor signaling pathway [GO:0038095]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; negative regulation of apoptotic process [GO:0043066]; negative regulation of bicellular tight junction assembly [GO:1903347]; negative regulation of myosin-light-chain-phosphatase activity [GO:0035509]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; regulation of establishment of endothelial barrier [GO:1903140]; regulation of phosphorylation [GO:0042325]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to virus [GO:0009615]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; viral process [GO:0016032]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; IkappaB kinase activity [GO:0008384]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; scaffold protein binding [GO:0097110]; transferrin receptor binding [GO:1990459]	CD40 receptor complex [GO:0035631]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; IkappaB kinase complex [GO:0008385]; membrane raft [GO:0045121]; nucleus [GO:0005634]
O14974	O14974	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	PPP1R12A MBS MYPT1	cellular response to drug [GO:0035690]; centrosome cycle [GO:0007098]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; negative regulation of catalytic activity [GO:0043086]; positive regulation of myosin-light-chain-phosphatase activity [GO:0035508]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of myosin-light-chain-phosphatase activity [GO:0035507]; regulation of nucleocytoplasmic transport [GO:0046822]; signal transduction [GO:0007165]	14-3-3 protein binding [GO:0071889]; enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; protein kinase binding [GO:0019901]	A band [GO:0031672]; actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; contractile fiber [GO:0043292]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; kinetochore [GO:0000776]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; PTW/PP1 phosphatase complex [GO:0072357]; Z disc [GO:0030018]
O15116	O15116	LSM1_HUMAN	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	LSM1 CASM	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; histone mRNA catabolic process [GO:0071044]; mRNA processing [GO:0006397]; negative regulation of neuron differentiation [GO:0045665]; RNA metabolic process [GO:0016070]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; stem cell population maintenance [GO:0019827]	mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; Lsm1-7-Pat1 complex [GO:1990726]; messenger ribonucleoprotein complex [GO:1990124]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; P-body [GO:0000932]
